cohort,condition_id,trades,sum_edge
no grade,0x0698bbfe9ca640fdc5d324070cd6d2ffc0db702ed6dc6fc8cdb2e24f1b081dca,1,0.220000
S/A/B,0x9863fc87d25c59fc291de4341f909dbce290408a0c5fb0dcc0cc7b9f718247d5,1,0.105851
no grade,0x9272f40d0efca6d1e8d5dd132fd62513b13cbbd1a0dccf7ad82d515aef419377,1,-0.531856
C,0x9ec12bd23874a60ba96ccc614ec6a49e7d538702424bf7a6e0397141e95dca55,3,1.100000
S/A/B,0x78f7ed79e5b86771d3f1ebcb365d94d8fa3afad20e4c947ccd0756041ad0ad62,6,1.413322
S/A/B,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,3,-0.650000
no grade,0x6031ee9f21f34cf5e3462d0c7314557d6e7c7473fe9cb3587677740b239778a1,11,1.104766
S/A/B,0xa2eea4184fb7f8fa894d0c9969a2240f377d54aacc607182d97e1cff3c068ef5,1,0.260000
C,0xc0c2aa208f6a2fc36846a39f523c59bea895272805ba077a020aeefe86d18846,2,-0.002676
S/A/B,0x2966c6d8552f554b5e2783b416460c55f3f330f389751e8bc8d3af1d67646b43,1,0.100000
S/A/B,0x26c10c27cde58e2d6214d65ab562d8142d34723b3b6ec3f40836d24f6d22dfc9,34,7.150000
C,0x89c45b9308fb21b268fde5a742ac0540929638a9c8a9ac9867345b5fe954421f,14,1.573634
D/F,0xd8f049adda6efd8becc699e49bfdf15529a78167f56770ecc55a617ba3f5bc21,1,-0.470000
no grade,0x6e1b5942558ba36931ce884c6924602e3386fe0ba4b0344af398b6f0f71fd192,1,-0.440993
S/A/B,0x1af38f6df567bdbb6e47c65da982f3d08320f38a4ea880236d432d17cb170b69,1,0.500000
S/A/B,0x7f4205645ac06cb2ed45683ebd85efc9446e16e3e600e575dd4f8ace16cd17e9,2,0.020000
no grade,0x6c28d7cc57011e1681ffa9f6e684c267a3df319c5864a9629f517abaa98d6efc,1,-0.430000
S/A/B,0xa51acce990c10c0c5aa7bc5f2e5dd1348672e7a3c796610ae0859cf94a1a18d7,2,1.080000
D/F,0x53a60d1ce4bcff0a133d51f16ecdbd4bf61f901d039519f8b494a0de0e19a829,3,0.446471
no grade,0x0e9e64ee9a3c3d63fbf65fef76846e9e08f4aea3cc920038657ceafd3618e37d,1,0.100000
S/A/B,0xb0c690da0e0d8e9e99700a85c137c538a1963869b51ce587576da7a9e31d01ea,3,-0.072000
no grade,0x6c1c65083e4d148247aa8395d1963b7196f4c1f6cff6ba49684e094dced0f778,1,0.427432
no grade,0x98c0ae477f73738b7ad487b2272db0970e52908ddbf92383eeeddbe4dcaa39dd,1,0.260000
S/A/B,0x82a8dfbd62b2344253c8df2b9152c0fed86f88db241f34625973c2ae74bb626c,1,0.280000
D/F,0x9fa9e5a60d59f1b61636d6a19bd0d8d0a0fa7cd365d00cf1a38204d5d26760e0,2,-1.040000
D/F,0xac7ee13217e8e0c5db83311a95c2e1dd405a56a4fb5d19fdf8821a1931f5e55b,1,0.400050
S/A/B,0x6acdc3316f0b43ca4fbc13623fc018e30f2fd20ae7b93bdc07c8193e99b0ac4d,2,0.626113
S/A/B,0x60c2c085ee8c16bc8f2419739a94971d4c9d00f637ead10fc0f540afa1be64e8,21,2.219338
D/F,0x58cc0061813df93fe76b1ee7f4b94d80e2eb2436ff4b5453075c057ee56c080c,1,-0.650000
D/F,0x249d76e0cf73bf604b946e0e7b5d5ec5c4cd4c58d9bf01481f5e834f54567819,1,-0.470000
no grade,0xd4a55eb55db2150e3187427e8e0638e33dab30f3ebe9404071c679ff11de5173,1,0.050000
D/F,0x5fbc649ed13e4e23d198cfbe4107df24f19c2c16bcac66b333c32376177acdd7,1,0.320000
S/A/B,0xa8672dd0290cd9ca36a08bd59f265890845da0a70f27340f8bbfdd3fda186f60,1,0.434544
no grade,0x339c300a9cfe452223d315d03c35473063ee904bbf3821741ed2e3ddfc27426d,1,-0.120000
S/A/B,0x9f35e753b35f5e6c9dc1eacde28bb41c5434348e52ed0ba9647191ed62928326,2,0.000000
S/A/B,0x297fe2f6faf226fd6c14723f2ea87277e100169bb16ae13bae2f607528a2065f,2,0.400000
no grade,0xe76d397afa47ea028b914eec69543c69f9bbec8c313bd3a1dba022bd050b4c22,26,13.272189
S/A/B,0x384f5415ed1cd2a324050a945004f0860da56d76895fb2403300e5360bb79ec7,1,-0.770000
no grade,0xf4d3da47cda6b78883ea1877338fce545a8742a8dfdb109c8e84c884b2e6bdf0,4,1.686179
S/A/B,0xb74fd0f96582c2ffdb397db71a890f536699379783a44f206cd268e33e8766db,1,0.600000
S/A/B,0x1ab414812a7ce3e9c2eed48862d26efde6abbfb4d2a2f7fc7166e3b8dad8fba4,1,0.520000
S/A/B,0xf4c9cca91dc96bb529a89b22623c754305122bbb6ef3759130ab88fdc4de24ba,3,-0.417863
S/A/B,0x7e9a11b6eb4cbeb32961b04853e7cfed65c05cedd38d9a04df51b46592a0a6e5,3,-1.080000
no grade,0x74ce546002223185879af518d89fc7a6b2d5268cda2057bbd7f0e3e8043c3386,2,0.435218
C,0xb3958a9dec740daa27123403d377b4d4874624e59afe13196fbab50c88be37ac,1,0.481348
S/A/B,0xd9b5a30a79a735b6e832c3c896186ad0c0a87c9a6faed63e3de2326e3c030ef9,3,-0.167094
C,0x5c3397b42765a65ea3c63001d79b2700a56df29c9a9e53a7476abe89654fc9a4,2,-0.962827
S/A/B,0x7a7ad0575539fd552e61444429c0ccad374ee9efa3e7352f5d6433c6300c69fe,3,1.370000
C,0xa7b34c55da0fcd45908bbc802c5fbd5f650e9b4dbb8639bfcd32baee8c62e243,1,0.120000
D/F,0xa22cb6ca53c2ccef8ee00feffc56ad1993c4cfb360d8f7698b04a094434b2edf,2,0.970000
no grade,0x7bb378e2586bd1c04bcee3ee9dd4c3859d84d038302c4a6379dc38ee4b05eced,1,0.210000
S/A/B,0xe3a8fbf2b785d9005e63041d337fab99f986340d9d04dea1615fce5dc3d71d26,6,-0.985792
D/F,0x3414230f872b5747e94b22eaec2ec1223365030418124a0eb87933bd175ff743,1,0.300000
no grade,0xc1dc6e3d75ad31cfdbad714db394d9b96897d485d9b8ecce2503017b2795a39b,1,0.480000
no grade,0xff7d9ca95dbe5d9a0058de7283d1e0b7c4b299f51e978f6492064bb6c67e9c4e,1,-0.591886
no grade,0x29019df1f940644d9134d2c7b6cbfe0c3f86d45b50080987265de3ce5c14610b,4,-0.471843
D/F,0xdfa51aa320b8c954b41bd996783129f3d4d64e5e0ac6ba41519d85d208bddb69,1,-0.470000
C,0x2ea32b144195d05af9b6b6791b86c555b86f4c5853f1684bbd94a6839c1d0902,2,-0.222906
D/F,0x85dff838897a01d538527ceda8a6965ec9bafea2aa0d6e9610846fa83a34d128,2,-0.521837
no grade,0xd9cd3ac2bc9623afa3db13d3baaa5474d28bcdb138e04a75d982f5567918c67a,3,1.470000
D/F,0x3fa5dee1ae2508a05779c08707ed823df3dad95472e6748b1b8808b8add463ed,3,-1.539899
S/A/B,0x54f795bc914be49d9d4f96a644246ace9c4df5bee3a526d459b8b1578e645e27,2,0.560000
S/A/B,0x7d1973309cee70874c8a92c04fa0a82558b3ec45fc64165821e7c79a315042c5,1,0.100000
S/A/B,0x88848543cffb85dcd72678a4c5d7667f356b64725535c1216be9492645379936,3,-0.399765
S/A/B,0xe5fdc40c7359993de971cc954edba5537a8a99270a8b8e2d221f80583f3e1dfe,1,0.080000
D/F,0xf4d4b372f63bba7381c467b34afaa8f8e2e352760de735a61684023e067368a8,2,-1.691452
C,0xbe3d3f97a50d7898b6ccdc40c5520a9767cb05479843006cc7977358414d734f,1,0.415784
D/F,0x0ee42242dc205516d88bd4327ddbd29cc0695ac4ca103ec6f34b0797f16ad8ae,1,0.150000
S/A/B,0x2b88900604d0722e4c01858cdf74606da33de4d403cf7b1acb91fbe687a48b40,1,0.080000
no grade,0x816e89b067559409ff00ff2d9c53360f9b9640d75ca38192163717fd3168b75a,1,0.360000
no grade,0x302948ee3839b639d88181ea416cce9ed0f4f44c88a4475db58d0035561c6abe,10,4.370000
D/F,0xd4a55eb55db2150e3187427e8e0638e33dab30f3ebe9404071c679ff11de5173,1,0.040000
no grade,0x9b36e79b984ae4a618788276cf06a3cd22a4d531375ae980198d0a498e856018,1,-0.546958
no grade,0x6c0e848d8d24e26b26f94bd64eb00692da83e34ee25c3c813a6818d1958fcf0b,2,0.710000
S/A/B,0x361319c3fde8ec9fff208881ad3a0a7de1ae7ef9b09c751834c1827db5e198e4,14,3.477933
no grade,0x03dbe4f7107c67cbd4a4f5e7e0ced595a96c4a26f62d433e1b58ff55850dc235,1,-0.650000
D/F,0x55a1cfcc9019d4b24a354b40dba2951566b39595a4f3fc394ab2dbf2e752616e,6,1.471676
S/A/B,0xae9433e408d779f7aa5b1d3d7eb9ef269fbb6d415d3699c119e60c4445e13159,23,-7.106210
no grade,0xcd93a203eee4d569ed53acdbfac6fe2738ac9caa71eb34eefe383b3939166b2a,2,0.170000
D/F,0x221b05db581e0beb3bd140683b89b06f6bb565f67674fb7243c6d3789ee18b96,23,1.773856
S/A/B,0xbafcea1ae4feeae7c1076f9145ac4e5fd7e3bfdecf840a40c69a1ea2ec5b5bb3,1,0.380000
D/F,0x5e797ecdf30ae80f2dcc79bc1248a9aeb63ef6e7594d20f09bc539984c2f0393,3,0.539861
D/F,0xdbaddb16dc62639fbfb1218e27b76943f0e58e83a872afd017bfa2399336ce70,1,0.325275
D/F,0xf7cbf62decfacb83071a4b509793acfe82d30463cfa7b3c4153d0da856f89925,1,0.410000
D/F,0xc2d389f2df9d96b646317341a694466bfe046a0a7ac2f54da57f83e4c162307a,1,0.460000
no grade,0x65e0cd3edf4b8ac0bce844448b7edab37f61d3d8a38715edc20a5fc278032645,1,0.150000
no grade,0xd78cc89fccf8277bcb7e74edbf72bb913cb1ba7c34bff61b33247d447c142858,3,1.220000
S/A/B,0x5c7d4f0e048d0c68abfa38bbaf5d1128c1f69f4a404a7f36898113953b3e66dd,1,0.250000
D/F,0x4573d13c6635d830bcb1845102e5a88dc5fa9b8441de34141f2baddf76b59ad0,1,-0.499545
no grade,0x4953dcc504b091c757cccb58dbe28780d994b4f0455aaf3d4bc7c593279e6019,1,0.410000
no grade,0x399b69600812f9997ee0dcac06c74c9351f230baa53765eacbc443a77bc520b9,7,-0.019997
C,0xecba7b1db1c698ab73b3572abfcde327a02b5112676144e049edcc1e1e0f5b0b,40,-13.372194
D/F,0x52d0c49125364e722c72cf1391d98b249d0fcae2afddec5af565af13b3810e43,1,0.340000
S/A/B,0x04c93142dcedfc8a3e554a4c475facaf1aac8535bd5f22bb2f8f1c281504b7cf,1,0.122500
no grade,0xdaf4445f6d52bac31444f06ce262c8cc5c23b35cbf475822794c5107828239c9,1,-0.490000
D/F,0x5810d0884dda0fbb907a59cdb066324475657c22646941bad677b084e466ded2,1,-0.429973
no grade,0xbd94b35fdadc148a2b8bffb7e8316d8d02bcc03dda746e0f901584b618caf74d,1,-0.520000
no grade,0x2ef2fa5eadd8a8019f875c16867347b94c384557e0df55fdbda1777186d6a53b,1,-0.460000
no grade,0x85184fbfeaa8622d8753b545ea7e60dcb6aa45ac0c0866fec617b3b0a30d0df5,1,0.260000
no grade,0xfb92baa02cf2853ff27fbd9b593d7b4303eeb2f2e1e5a494197fb69a18a5cd4b,1,-0.500000
S/A/B,0x9c15b672f0d89dfceb2c0e51e520d4171ec45a072f7f8343606d80bb02b3857c,7,-1.591833
S/A/B,0x9ca755fe004a3bd0b32c6f3c5692772abd1772acd0b46d9652798d9eb62d73e5,10,0.101364
S/A/B,0xbc89acce11032f44f10e0d0f04268752f75322804c0ed44a197d226a02896455,1,0.350000
no grade,0xaeb09fe17650daf3dd5e77a58f900e8eca0db4f8589f5ac39693cb04020853bc,6,0.704267
D/F,0x08e1a17010bef2c749c49e0526ad4dae6eaa75b350c1efc41f8c798f8fe61391,1,0.440000
no grade,0x377d771fbb92cb291fefa615427826f82e66adbf27dd9b2f9142331ea8a6e087,17,-0.954475
D/F,0xf7ce928d780f3b4782ced031c9f20907d23b736ba7adb73fb962684df13ebabd,1,0.200000
no grade,0xc2c5087eeff169f8d06a7fc2935554933824237e4ba0b22e0f1aad3ecc515caf,6,-0.098536
no grade,0x6ee88702a3df2b660e38177a1224bf30765a16467f48cb119a07583e8fbd42ca,30,11.618475
S/A/B,0x7e98a0b7128193c0de48cdd9334f2427c14ee5439b82a8a2cb323daf65d1ee3f,1,-0.620000
