nba	nba-sac-bkn-2025-01-27	Kings	Nets
nba	nba-okc-atl-2025-10-25	Thunder	Hawks
nba	nba-ind-lac-2026-03-04	Pacers	Clippers
nba	nba-dailies-2024-05-10	Pacers	Knicks
nba	nba-nop-sas-2026-01-25	Pelicans	Spurs
nba	nba-nop-den-2025-02-03	Pelicans	Nuggets
nba	nba-por-dal-2025-01-09	Trail Blazers	Mavericks
nba	nba-bkn-gsw-2024-11-25	Nets	Warriors
nba	nba-chi-min-2025-02-05	Bulls	Timberwolves
nba	nba-mia-bos-2025-12-19	Heat	Celtics
nba	nba-den-nop-2025-11-19	Nuggets	Pelicans
nba	nba-orl-den-2025-02-06	Magic	Nuggets
nba	nba-cle-mem-2026-04-06	Cavaliers	Grizzlies
nba	nba-cle-cha-2026-02-20	Cavaliers	Hornets
nba	nba-min-lac-2024-12-04	Timberwolves	Clippers
nba	nba-por-min-2024-11-08	Trail Blazers	Timberwolves
nba	nba-nop-sac-2025-02-08	Pelicans	Kings
nba	nba-nyk-cha-2025-03-20-v2	Knicks	Hornets
nba	nba-sac-lal-2024-10-26	Kings	Lakers
nba	nba-den-sac-2025-04-09	Nuggets	Kings
nba	nba-ind-cha-2026-01-08	Pacers	Hornets
nba	nba-ind-chi-2024-12-06	Pacers	Bulls
nfl	nfl-phi-was-2024-12-22	Eagles	Commanders
nfl	nfl-den-sf-2025-08-09	Broncos	49ers
nfl	nfl-week-3-totals	Over	Under
nfl	nfl-gb-pit-2025-10-26	Packers	Steelers
nfl	nfl-hou-jax-2024-12-01	Texans	Jaguars
nfl	nfl-ne-chi-2024-11-10	Patriots	Bears
nfl	nfl-mia-nyj-2025-12-07	Dolphins	Jets
nfl	nfl-chi-min-2025-11-16	Bears	Vikings
nfl	nfl-week-6-spreads	Texans	Patriots
nfl	nfl-ind-ne-2024-12-01	Colts	Patriots
nfl	nfl-atl-dal-2025-08-22	Falcons 	Cowboys 
nfl	nfl-nyg-pit-2024-10-28	Giants	Steelers
nfl	nfl-det-phi-2025-11-16	Lions	Eagles
nfl	nfl-gb-min-2024-12-29	Packers	Vikings
nfl	nfl-jax-cle-2024-09-15	Jaguars	Browns
nfl	nfl-was-phi-2026-01-04	Commanders	Eagles
nfl	nfl-chi-det-2025-09-14	Bears	Lions
nfl	nfl-cin-cle-2024-10-20	Bengals	Browns
nfl	nfl-week-3-spreads	Chargers	Steelers
nfl	nfl-ten-jax-2026-01-04	Titans	Jaguars
nfl	nfl-week-3-spreads	49ers	Rams
nfl	nfl-cin-min-2025-09-21	Bengals	Vikings
nfl	nfl-bal-min-2025-11-09	Ravens	Vikings
nfl	nfl-week-8-spreads	Chiefs	Raiders
nfl	nfl-jax-lv-2025-11-02	Jaguars	Raiders
nfl	nfl-mia-nyj-2025-01-05	Dolphins	Jets
nfl	nfl-gb-min-2024-09-29	Packers	Vikings
nfl	nfl-la-kc-2026-08-15	Rams	Chiefs
nfl	nfl-car-ne-2025-09-28	Panthers	Patriots
nfl	nfl-kc-bal-2024-09-05	Chiefs	Ravens
nfl	nfl-tb-pit-2025-08-16	Buccaneers 	Steelers
nfl	nfl-cle-pit-2024-12-08	Browns	Steelers
nfl	nfl-hou-dal-2024-11-18	Texans	Cowboys
nfl	nfl-hou-chi-2024-09-15	Texans	Bears
nfl	nfl-nyj-no-2025-12-21	Jets	Saints
nfl	nfl-week-5-spreads	Bears	Panthers
nfl	nfl-atl-no-2024-11-10	Falcons	Saints
nfl	nfl-week-7-spreads	Jets	Steelers
nfl	nfl-cle-dal-2024-09-08	Browns	Cowboys
nfl	nfl-lv-hou-2026-08-21	Raiders	Texans
nfl	nfl-ind-bal-2025-08-07	Colts	Ravens 
nfl	nfl-week-8-spreads	Dolphins	Cardinals
nfl	nfl-det-chi-2026-01-04	Lions	Bears
nfl	nfl-cin-gb-2025-10-12	Bengals	Packers
nfl	nfl-week-8-spreads	Bills	Seahawks
nfl	nfl-tb-dal-2024-12-22	Buccaneers	Cowboys
nfl	nfl-ind-cin-2025-08-23	Colts 	Bengals 
nfl	nfl-week-6-spreads	Bengals	Giants
nfl	nfl-cle-bal-2025-09-14	Browns	Ravens
nfl	nfl-sea-sf-2026-01-04	Seahawks	49ers
nhl	nhl-wsh-utah-2026-03-26	Capitals	Utah
nhl	nhl-lak-edm-2025-05-01	Kings	Oilers
