grp,condition_id,n,sum_edge
No,0xe601cfdd1c559f762a1c4e1770fa310c031568bb8de9b26c074431f42f11ebea,15,-9.876705
Yes,0xc1babebbc053448fac300e7cde38257ff203fbd76c98e4bc1c92540c42713886,1,0.360000
Yes,0xef37c87a8207c9686fcffca48c7290247da39fcbabf21995f155a947b31d466a,1,0.378682
No,0x87eb23d2953494d70b89d97a501cf9062dc03bb37365ca1bc171a9657ef5f6e5,2,-1.193764
Yes,0x9981a820cd83632951fcf00dd343799194f5890d28ea62cb4fa64c1804fe70c5,1,0.504455
No,0x0a672f0d0be0e953b5491505696ab56d0fafc4673ec4c146fe4f71345cc0cac3,11,-7.106801
No,0x5fbd7c7057aa9481c438cc2a3c5cd70fff2ae7f743f3cf139dabc3010e035199,1,0.500000
Yes,0x2f5029511184242b684ea57b45b4d45b64b27b07a499e25af818479fb3f9daed,2,-0.718644
Yes,0x8c5bd59e62322b7de3a2a0bf706993b34ebc95ccd3e40e7788a1fc7dccdaab28,1,0.430000
No,0x38c0f6df73e3bebb57a523bbc86b2c18fbf8e594badc950b1a931bec1cf61e2c,6,1.080000
No,0x6eec7d50a9c7a055b607d9334cfc52d4226ff49b89aaa67a81c584036cfed1d5,1,-0.439845
Yes,0xec614a1d27c0843167129942f31c1d5fa2b7712111e6b8c1da7dae5fe1973ff5,4,0.786578
Yes,0x7dc3d2ebfc9d03b3a0570ddbd26796093f53bf7d693904a29d3b66da80ef0095,1,0.495933
Yes,0x6c7802e0a9f069ab668c45c38c96cfd3e10b526c622dbbcceb0b98f8a3d9cc34,1,0.135157
Yes,0xc56c8d67d81fc39754b59188d7a7ef751334a2b0a9a6f3f4f9fcb4e7164012e4,7,1.953883
Yes,0x75d0793d696aa01f6af1c299a112238c45d96a2343c6aaa906ce7b777306a717,1,0.421755
Yes,0x45458c53ee6c6d2a5aab966703d5da6506e39b1650314a71ff2227efee9d7e35,8,2.212667
Yes,0x314bf496d98fc8ddfc54298c452ec44d3dee7e096d0c9e960b623daebb0962d0,20,-9.330000
No,0x747f264fcaca0caf62c4610078edc77b44f44c1d6dc417fbb24d312343a5057c,4,-2.200000
Yes,0xc7f1b0c3286dd2f7005fec9a3c32c1cc6471fc9bc132d9fb7d14396fea80011c,10,-5.662106
Yes,0x7e0a3228bf7178ce9a1ba52bf1a44460d5c10f434762164ae8c22c4206416896,36,7.911679
No,0x7c8e029d620000fbd228d23e14827bcf76da6f92157dccd9dfca51cb5c3c7e9b,1,0.260000
Yes,0x01be55092df11921718a3c7b28b5a129ef0fe4956cc92718cdf66735fb68644c,20,-11.382099
No,0x5bbca7999abb194c56128b289c19050d5441e88fcb80f1553f69ad26863d110c,56,-26.582460
No,0x23e498614643b7c79240b26e6e6743d0103b1123e659fdd53725f113ab62e69a,3,-1.577700
No,0x5e6b685211bb1141b9f71539d29a6f60d681efb841668443c1c9eeacf1be73c7,12,3.390000
Yes,0xbeaebbf4220e5e6c4ac194606bda5c3b1807b51875a4f967a165c1ec0c3b14f3,4,2.370000
Yes,0xf6f8ddf9cb6ce31fadfe3fa95ca6470014afef1a2d7122c1d3dd7df40e3cfd25,1,-0.410000
No,0xfc27a597e1c14a9eb5faeba1129cf908492ca1f13de5a1f290a61a1f77ffaf8b,2,0.840066
No,0x93842a96132450606d54851a4958482a89214eb3666af4b2a0ee916f87e94acb,1,-0.749871
No,0x1a5eefee7dd523f2b3ad6b8c445a093edb8702db951fc16bf1ca6dc539d1d50f,1,-0.494985
Yes,0xbbc50081adebd7f65ddf96f108860a94f677848276b16e56e0d8c12359e65199,1,0.405292
Yes,0x3fc1244001a67e9ce6fd50c21775364a5f3665be23bfd185fbad1f0979d34bf2,21,-9.674558
Yes,0x1e7dc2b29a52b789675f56c13374567e036e3bf177aadc721a070d61e00fcf31,1,0.420000
Yes,0xe8ef83fb7ca073d03b759aef5c13c3f39b284832c617722506f4f812f71efcbe,1,0.360000
No,0x0ffdca45fcfcc42395ff974bc9ac67d49a76ddf73b72c84f6e7d61fa564a9027,1,-0.400000
Yes,0xf29e2a9b86f896ba40c87d5fc9e1ef92e28670e173ba3f8ce9aa4410826124e5,20,8.591819
No,0x5f0e6eeb1d99e904602e7dd5a4968581f092139892125b090d24845426a0be57,3,-1.080000
No,0x1f6f7a44c595ee21a59cff7c5ad3f74cd6e708a3d307925d5851d567a5f9d23f,1,0.380931
No,0x46a5c6bac1c258167e384fe429c6c0a6fd8c5033af7924c2d26e43a76b8d507b,2,0.610813
No,0x308283c62cf070eba92ad34e9f0ee64f46d3809d911766e09e6045a6c94ddb08,1,-0.520000
Yes,0xbf2f8d3f411619df4a02c6a32ade1e4da4b71cee9ea49b85c9c154a70dd46424,19,8.050000
No,0xa7e012a7c7efa23e8854552a0443c882dbf48d36d1b298dba920093f39b6139b,1,-0.679981
No,0x2e6d1ff6f974c65a4584646d73ea5bea113762c7cb1c12270507ec80e774821b,12,4.042982
Yes,0x2b8cd40628a18344f267a0aab33fd8b7e5174a2fc3ab5412653616ae1d56f111,1,-0.460371
Yes,0x044d0331a41904d2181a9ecff6b32bb4dcb5192ae79bca25c283dc87e3cb21cc,1,0.440000
Yes,0x72fc519dab501a08baa092d5f49b3cc22188513a0e3366fc02134e378c9da62a,1,0.570000
Yes,0x4be47fa516fd3e4b5543350b7d8b3f82d6dbf26de2f320f79c5bccdd543999df,1,-0.636096
No,0x9bffa2fd6e42b8b68c61eb3fcda9801ab22a77fc0005ef387646fa8f8b582678,3,-1.440000
Yes,0xbb12a17291206bfedf233a1e0d1ab35b90c89232d718169d5c88b9fc5a80ac6a,1,0.392428
Yes,0x90742e6505aee7f4cffdf1dd20b8c994a223725da82d4edebd4034c102601baa,1,0.213020
No,0x105c039cf08420759fb2d31ed719e415b6c4e53b8844ce48ba9b8c3882fc2eb7,10,-5.620148
Yes,0x99a0c6324aa2a54f827552dd8c0d1d8ae79cf10c33ba35df86bfab9509a03b91,2,0.744755
No,0x5bfb77554724261845144f695234351b73c42951e9e1427c3242c1a7b6bd560c,1,0.410000
No,0x5c3397b42765a65ea3c63001d79b2700a56df29c9a9e53a7476abe89654fc9a4,7,1.900760
Yes,0xef9fdd833811f57b696b558edfab71a2eba1211ef626a29d63dd42967af17965,1,-0.400000
Yes,0xf856d8fb9ec0f10734f6012401fa76c82f15d16f5e1d289983afdd49385d352d,5,1.306010
Yes,0x8cebbaad3b7c0502fd02dace5a7051c0298f11ce371be46294a84ca8b114fbc3,7,-3.952371
No,0x47fd7c2008a1a7b68621b1dfe420f2a5889fbf820e0e8e3def2d07b40d35bc07,1,0.290255
No,0x8ec153d0b72d88658fecef89b6855277f67ab44c0866a452069562652e97c702,18,-9.905046
Yes,0x6b72c2f5f00f62e8c085ab59fc898676d8fce13dd987e54d6cb23bcbdb883db1,1,-0.469984
No,0xb75ce108b23868693a623d6d6edadba22267bc5813438186c608eeaaaa85612f,13,4.326908
Yes,0x9bdcdd716237e4ae8e9b06075a961b7ad2ac5b2ba89e6af8dd9c3ff3e876bdde,19,-6.036725
