grp,condition_id,n,sum_edge
Before the start | Laying points,0xc5dafa72c418d6377bb234eed7c5a2f51cd2a5c580419b0a721b3fde0b20b57e,2,0.760000
All sports | Taking points,0x6d8bcb0ad64e657f1aecc541bdd300c87dbf1673d523e8e5c2880a80a167f65f,1,-0.518106
All sports | Taking points,0x9d2fce5a4a99a9b4228d97b446f48a25d4d4baf0daa22c439660219a66c4a6f2,7,0.888454
All sports | Taking points,0x1e8088c345cefab42433420ccda8fafbc3ce77e8e5d483558d5907cb9c3194e6,1,0.440000
Soccer | Taking points,0x2ad94e09381050ebbe1e9e3268433213be00a11c30a1e0877eada033d8307fc6,7,4.054974
Soccer | Taking points,0xd314e83e32c5b6761075b1c43ca5c8cd262960600ca70d01db582d2c0622a342,1,-0.380000
Soccer | Taking points,0x51930becb77692cc4b5e51a87be262a13e922774e3de1dde84529fd89b338327,13,-9.510000
Before the start | Taking points,0xc7490bd7361f739cdd7000d3b5799837228330011f30a40a84b37c6c127dbe33,1,0.075040
All sports | Laying points,0x7547e70abf933572765426fafaea318052b9581d61eee61315acb5f8461c79cd,1,-0.520000
All sports | Taking points,0x14ee23cb2bcbeb0700bcab5e15fed482883ac26599449e85850cd9b73fa0f105,1,0.530000
Before the start | Laying points,0xb4d3e0933de168e9eab31f7db3ea698496ff7fd8c1085619471e6db5391ac5f1,1,-0.396280
In-play | Taking points,0x4dddfe7d41d205f840faa36f47480f30b6ade96067db4ce6620a84373bc69449,1,0.370004
All sports | Taking points,0x0f7e44a2656432b4c3e3f52166a2cb60211a82fcf49d6cbb5d49060cf09693ff,1,-0.510422
Before the start | Laying points,0xd28b9a9f43a54071838dad0136e28531edd5bfa4fe25f4a1fc20fc836a90b289,3,1.538491
All sports | Laying points,0xf38f31748bf164fba353e453e1169d447bdee127b6e0e3571a42b775fc87cb9f,2,-0.476371
Soccer | Taking points,0xd4b71d99615e2b2b8886c0b51c197be5c2cd6b3694c687dda3978e81c1b2f46d,1,0.269878
All sports | Taking points,0x7aa5b5c1fc24377414974d09d38c21d7d28e36d22bc7db4a8f2aab3115d6414b,46,22.755118
All sports | Laying points,0xee2b125299ccd763e10323c4ce2d1e1ae7be98de5c76f00c10fcf18cfe74304e,1,0.520009
Basketball | Laying points,0x295722baaa8870ad1b9465736cfa20ccc0e244a144b8dde9c8b91be4f6818724,2,0.970000
Before the start | Taking points,0xc3a2899b4095335eacb14f575465937113e3767e8e3b4407ffa28441db0be872,49,-27.300000
All sports | Taking points,0x97c7f0ec8ee0cb394971e7b6548fb545fe271fb72bf711ba340c8ecc802615d5,3,1.080000
Basketball | Taking points,0x8ea87d3f28e1b539db220e11883929ea98961ea993a3913f3cdc74f9ef99ae7f,32,-16.558935
All sports | Taking points,0x3134ecd930bb826c83d800e2f75aff6b8fcf929685d4a6c9295c70ed0a84e19d,1,0.105665
Soccer | Taking points,0xcbececf2cf6b6f91c5041f75cb91a99e57c20a1590e45210c1e75d7f0c4e7573,45,-30.380000
In-play | Laying points,0x9e9759d4ce89a3c1e66785dfb977eeb8b2f8ddc73f174e17f694d75e3508fc5c,1,0.180000
All sports | Laying points,0x886ab0341311c663a71823d2170aa848bd8a10f77c32b65daacb8a7edb1e97af,2,-0.820000
Before the start | Taking points,0x5f906963c54147b30a1dc6a472e53d4547f6bf7d3039987054a09b21273e28b9,1,-0.490000
In-play | Laying points,0xba0570f7b23d095e894c29ba3e7e65ae1e34b41e37d14cbd2c87d1a4f16b676e,1,-0.822751
