grp,condition_id,n,sum_edge
band c. 20-40c,0x375409bc5eeeff961e82b479caeccc20f33d15738e5bce1186d628aa3d9dfb1f,16,-3.527510
all sells,0xcf3012b87867075bfbdad73dfbbf7ba028123180d71c7770541517f89bbe2630,1,0.290000
band g. 90-98c,0x44d98a1058333e56343d09485d807fbe88a0ae728144348f4e8a5af6eaedc01a,1,0.064214
all sells,0xd82e290278038064d836ea912e3989fb7bae996b73d5a5e6910e3c5ac01ae136,12,-6.188119
band b. 10-20c,0x280093bfc0537118b85c5ed9e63e022dc904e4b3e32c0e3b4aaca5c62e8059bd,4,-0.550000
all sells,0x72e6231a5aed2d6510c889cb58d4d268ea67bd334099fc934b252a0552053d72,1,-0.490000
band f. 80-90c,0xc395f3754ac362849f22aa68a51a8975ac16d72194bbdc601b9b6e0a7d96d643,2,0.346462
band g. 90-98c,0x83d434951c9b792f27b0e4861e773c286132ca0803dc7a211c564d2b1e16410d,5,0.270000
all sells,0x09b5319e9123d5135190a021b1828a92bfd6ca7597aab9d2a404f2f932a7adbc,3,1.580000
band g. 90-98c,0xcbc3a1f313d2012b461b55309e3b8baee458c9c94a6db0006d0f2a394fa09980,1,0.040000
all sells,0x19fd857bffd8a7ca8371ff4ff4921fd43a75519585b355f19899d3247dae7a4f,2,-0.233311
all sells,0x946a4a22a85768a03a33f668eadb7594383048eddba1f1fb7b90d0c566bab7e6,1,-0.480996
all sells,0x79346c74dcea25759feb1360aa1d2477beaefd81bf2401dc1679ab7ddfc1c103,2,0.760000
all sells,0x14da6b7a7b210f833811c5d2577252cfe239e840279edc8d70b3ffb990ce6bee,5,1.231127
band f. 80-90c,0xe3829381f51ef07bc79fa71605d413f4b16ff8d0bc491bf0ef587ef65311e582,1,0.145549
band c. 20-40c,0x9cbee51cee8b872688153db5bc563c733e227e04578f73906679760d0012d0f4,1,-0.390000
band a. under 10c,0x6182a59d2510351478c7da402dbf656c9c15acac738c3d4c70b37d164b336d69,1,-0.087000
all sells,0xfd542dcfc4d6e50231450c9d0d6ed91cb621b54776e6fb1178ed396194d35407,4,0.201116
all sells,0xb7a1dae177d983e1b4453a6fac3fd516f393df44803bcfe375c32f54cecf9b4f,1,0.300151
band d. 40-60c,0xcfd05b8542186b65050be56282039a00a5099d36b956408b440cddac4bff1f96,1,-0.463598
all sells,0x8a3f37990d7a7006cc10eda2976e0d961ad4b6795c78660d455b31c25ca8b52f,1,-0.638563
all sells,0x5da00b9c3e16a0265070fadbbea8de56c0f8a8912529e2792871f50b86829108,1,0.050000
all sells,0x12b6da2a3297d4078f1e3f9ff5a2452cf29d3a719ddf2ebb281d081fe27abaac,2,0.181620
band f. 80-90c,0x4fd81d80a311c15b7d8cbb4c4c86986289675f8b65d103d122dc8aab155b9dc9,2,0.300000
all sells,0x6380cf0cb1c7adce510753eeee1075cef6596d1de05eaa4715e56bbfe176bea1,2,0.070756
all sells,0x1945761f0a551f15b10749de1587b8c6b87aba93cc381b0fe635665c14f922b8,8,2.800000
all sells,0x5051cd19dd62f98f96f03c635c8d2667511f6e387c457ef0f86d32b874e72868,1,-0.266378
all sells,0xa5c032ea59bef7295facaa3b2eada44ae2509eaff4b45d9896f48290f7f99510,4,-1.062000
band e. 60-80c,0x494c90405f3983224bab5d39f6f48a138c413417993b7a7825abba978c934e9b,1,0.220000
all sells,0x7ebb07134794576c154f06fbaa1cc61a5292d58e280ce98207977771c0326c27,29,2.877243
band c. 20-40c,0x8b53269f0d01414e2d9330b345c054b7d99ac4a21a5b7910ded98090397f5499,1,-0.300028
band e. 60-80c,0x8c0cdd9424e411fc26ffc811515f9941630f1e3b48e11c5747f694110137d9de,1,0.320000
all sells,0x9e6555313037ee793c063829facafc11511001eabdea39c0b88efbdecb7e795d,10,0.014018
all sells,0x8edeb1eeb99465180cea2fe25d0e5d7a6cc41777b0b13597f25bc6297f80cf28,2,-0.081588
