grp,condition_id,n,sum_edge
D/F draw Yes,0x639c60e4a74ea30a30b637625813d3fabed195d88072a488f8b7ac6441b930ae,3,1.001779
D/F draw Yes,0x6bb8b2483eccb8fcae84cd42fd7d8e5e394689e0a06f95b189a77b4819cf0173,17,7.836660
D/F draw Yes,0x6fcd127dbe2c45255d6b201b1b250c69dbf940de0fe80b4e40e23822c963443d,6,-1.648091
D/F draw Yes,0x71b9be2e4558d3581e1023a0e0568a7a49fcca8c7f1ba1d1ca73fa1deb05e76f,8,4.930000
D/F draw Yes,0x73cdf481e0d213e3ad3b2c096ad9dfea604b6587900419d0a214aac966c68988,20,8.574221
D/F draw Yes,0x7815af57ea657fd0442932a788988b7f6c219a46903e4bce678981b801daf8a4,1,-0.110000
D/F draw Yes,0x7c200c3facd45c4307c4d52d47a7d0d86fe219ff25eba92ff88a674d974c4ec3,8,-2.058866
D/F draw Yes,0x7e88fd883e66a95417ac88e33876c14479a06e7aaae4c23494233622e2ee0467,10,-2.492000
D/F draw Yes,0x826887e3ac134321e8137d47870b4efa84d0263b0864f21feb227c8e024d759e,1,0.398664
D/F draw Yes,0x84466f679694048db91acf068a3c1757aa5c5e44e4409e97b32ee214f2a8940b,14,-6.431940
D/F draw Yes,0x87030106adba59ce8ef007955073623da31f15fdf4655b96cf033fb9e57df694,1,-0.270000
D/F draw Yes,0x8765cc2b3c75089a9c5de8d12d52274857a2e573a9726bc023faa2a046340fac,17,9.995280
D/F draw Yes,0x889e0fa1c435f52ba8534423449865e6f18fd11fc13b473988b88a60d81a9ea0,10,4.054783
D/F draw Yes,0x89f3660355b18cdd0684d129970fbcafbe253427af12a76cd806bc684f240f6a,4,-0.856037
D/F draw Yes,0x8a3ca97b10cab04b078e5a8ff0f88c3d406c9468d766f194e3e062aa72a9b539,4,-1.255017
D/F draw Yes,0x8ab8461b23e508d2469fb8c56919e6f26845ddc9082c2cad904f10a1df441cc1,4,-0.803212
D/F draw Yes,0x8eb933271beaafebafc8f7615e69e6a20bdd61ef25f99f78f1e21486340f6570,21,-10.560116
D/F draw Yes,0x914abe14ed078456f247cc648e2ae1e9579150d85ddab7670266fa8fcd350889,20,9.459150
D/F draw Yes,0x947996d016c91c138f34eb5ebf0a67a27af1254fb93e603e48889c2f178ddd0a,6,-0.725035
D/F draw Yes,0x95e8c492f878a1c6b04e47caceee107037a26e4a8b040041b28a3be8eb0f6942,12,-3.849336
D/F draw Yes,0x964314cfa3bbe2b74e99f1973135a7678ba86ad048116b1a9846a9fa8cde646f,2,-0.190000
D/F draw Yes,0x97d575b72f12355f393ac5dfd2258ba24c06fdbe5355451b8d59256dfc3748e6,2,-1.179758
D/F draw Yes,0x982941d6030e30ed0f56043622c52d71db557f6ef2774a11a06945248e7076ab,1,-0.290000
D/F draw Yes,0x9de91738929365f104420a4246815a47ea2017b17e30370fa4572ceb84d898b9,4,-1.065879
D/F draw Yes,0x9e9014ddc6e6386e9bbd6bb8e6bd0049094ebaa3fa2eabf51055b2439c08a075,24,11.274754
D/F draw Yes,0xa6c938b3402538af5faa626dc882bd7995db132df1c4ea669db7841df3557678,16,-6.981390
D/F draw Yes,0xa6cd933c6cc3487b1a8505ecfad35d38428cbc9e3df01cc81fa10219b8724d25,14,5.693874
D/F draw Yes,0xac111edf9fdf6fab06525d9a0216c16a2e54483c0df7ac58f1a83e9fa53b0c72,8,-1.760000
D/F draw Yes,0xb025924a635da63f0fe25da502ba1b006cbe2797166be54ad6634c1c9891a798,8,-1.959685
D/F draw Yes,0xb1a0254ee2dfe4fc6bb05e521cd068d463245f3763cac6ed3c464d6499a8cc07,9,-2.723418
D/F draw Yes,0xb20f96ba6ccf4555d4e3adcc97a561512ef27af67183b52d32283066d4a81853,18,7.162992
D/F draw Yes,0xb3e5963c18d0fbe9285a35e65aa260b304a3cded6aaddab9507122caa33caf44,9,-2.898967
D/F draw Yes,0xbd175757f12ecc85b7aae7f1f35c8637e350227dd2967abd6e1373e245c51f49,7,-2.130000
D/F draw Yes,0xc17c0b2fbaaf76f218153cc4d4c6c0dca65c9138317e2cbd1903c63ab70dc1ef,25,-14.861013
D/F draw Yes,0xc34b198e91f197098da3f782c066328e199a6342e6798753de2bfa9ae568ae93,15,6.294317
D/F draw Yes,0xc920db1acc999cd16e24a3d5cb2426757ebfa7dac6e607a4ce5aa1208a70bd2e,1,0.715294
D/F draw Yes,0xcd05a73f2ddf6c07340b4f1c6c853c4754b2f4428045fec1b295c192e399e563,11,4.205289
D/F draw Yes,0xcd5a126fcefcdfa03d8e25bfff3d3c4476100f630467622ec6d5fa7595c72636,2,-0.600000
D/F draw Yes,0xd0fa27da024261ba5edb5e9eda33651a224fb5a2137d3c9e73b216109b12dd79,6,-1.580000
D/F draw Yes,0xd6610e656f1627099a40d44b2b40ee97b0991750af36e80d0ca73533cb3efff1,1,0.769024
D/F draw Yes,0xd6a5a44e8105c4808ba09d19bce444b22b883330fd6e23e5661988b3583a9d4c,35,17.102798
D/F draw Yes,0xd946b50e437888851b9032e01ab2f52efb594b858650f07f06a1f4d941143c79,1,-0.121382
D/F draw Yes,0xdbbbbd6ea71cad296d859aa629497400402ab253a51350bddd5d761dbbad1460,6,2.927794
D/F draw Yes,0xdc34b1a1507fb269c41fb4750880a7774d396f00b76e95c5746c9fe454e6085c,14,-9.095673
D/F draw Yes,0xdf13369a5e77705a1d62214dde4617929c5875f6c52b62177ccb2ea27488b18f,11,-3.651456
D/F draw Yes,0xe2671b2075027e789dd1066e9976fd4515b4db921f84f05d5df463bd0165f950,3,-0.459880
D/F draw Yes,0xe2e3e289d42ce5df6a79676f3339b4e9dd353ba97dfe45d272c030599151cea2,10,-4.321778
D/F draw Yes,0xe43caeeefb9438d44e3c73a10dddc88f3dd355daf89d0586f8e9c2369bbf762f,56,37.160000
D/F draw Yes,0xeda55c7409e9f0f436377ea300db42db6c576277846df770abd1391828dde639,8,3.566007
D/F draw Yes,0xeec0dcea9df0643a868e9b152752473444ab03d9f6db1440ed66db8e76f93a14,15,-6.051195
D/F draw Yes,0xff1afdef47475128b85467bd1a3a4a3182da0c27409d81c2dc6c7d55b5467dad,28,9.543963
D/F draw Yes,0xffa05800960fb8b1532c0f3f99f51b4996c9b447b0b195635e644e071e4b63e7,5,-1.100000
D/F team No,0x009d773159b72d0575602bd9c855bed45187a7cfdc393dc231997731754d0ebf,27,3.410000
D/F team No,0x02103f049a5fe127c4ea03c9531772e82f3b9f5e9f5f30d67fda5b472fb56c17,5,-3.000000
D/F team No,0x0256ef63427ed0d9eefa1422eee948165a2a215b0741a339025fb08b2cf6e15d,21,-14.260000
D/F team No,0x036d91a5f6bb6462d71153330275c32ad9350e9df53a0b4e51086c191c69b7ed,1,-0.900000
D/F team No,0x044863f506fcca9771a47de547fe03e00f5bc2a7070e93158499092a6843a0d2,7,0.299000
D/F team No,0x04b6d6630d49e6513355ff045c96439c929335cb0d18da7792dea6c2fc717ead,41,-14.409919
D/F team No,0x051e0ea5b3c394114eacf8ce5e944ca63cbb6ccdef1d086cadc5dd129a3804e6,28,-9.190000
D/F team No,0x057885f5f49261eb41504e24899a88e53cb364ddf95e3c0df5608200feaddff8,34,5.356637
